用户,是否看过,五星评分,评论时间,有用数,评论内容
棠枫海,看过,力荐,2019-04-24 02:23:59,23059,如果你不喜欢这部电影，说明他不是为你准备的，故事的终章是为读过故事的人准备的
二火山,看过,推荐,2019-04-24 03:47:19,56,刷了三遍，切身体验为，零剧透+IMAX+粉丝场为最佳观感。作为一部全民情怀向的终章，有遗憾但很圆满，每位观众对自己喜欢角色投入的感情决定了他们各自对复联4的理解，利用穿越时空来回溯过去是对观众十一年支持最好的礼物，那些意想不到的惊喜就像彩蛋一样埋在正片里，令人兴奋。漫威这个阶段的成功，离不开全球观众对一代复联倾注的感情，他们像家人一样，成为永驻我们内心的角色。
。,看过,力荐,2019-04-24 00:00:03,10279,献给我人生中最美好的十一年。谢谢你，漫威，谢谢你让我的青春有了一个最完美的结局
Tel,看过,推荐,2019-04-24 00:11:06,12212,我是一个90后，我曾经很羡慕“上一代人”：40年前的观众，他们的影院里有星战正传三部曲的落幕；20年前的观众，能在影院里看到指环王系列的终章。影迷们的悲欢并不相通，但现在我们也有了共同的记忆：漫威电影宇宙。谢谢你，《复仇者联盟》。
凌睿,看过,力荐,2019-04-24 00:01:17,9852,"托尼说好要回归家庭、陪伴家人，可最终还是选择了重出江湖，因为责任和使命，因为“我是钢铁侠”。
美队在《美队1》错过了和卡特的约会，错过了陪伴卡特的70年，《美队3》更是亲自送挚爱上路，感谢导演给了他一个完美的结局。
黑寡妇高尚、豪迈、英勇、无畏，和XX并列最伟大的复仇者。
雷神和XX好好告别、托尼和XX握手言和，让人热泪盈眶。
美队弥补了一生中最大的遗憾；
班纳和浩克和解；
鹰眼与家人团聚；
黑寡妇没有家人，因为复仇者就是她的家人……
结局太完美也太催泪了。
《复联3》化灰英雄集体回归的一幕震撼得无以言表。
最终战的规模丝毫不亚于《指环王》，相比《复联3》更是提高了至少五倍。
尤其是“妇联”出场太惊艳了，完美诠释女性力量。
十一年布局，22部电影，在《复联4》画上圆满的句号。
借用摩根·史塔克的话：漫威我爱你三千遍！"
Rafe,看过,力荐,2019-04-24 03:05:48,8556,钢铁侠成为了美队，美队活成了钢铁侠。
昊昊的说。,看过,力荐,2019-04-24 02:50:33,8123,"“I AM IRONMAN! ”
既是开始也是结束。谢谢钢铁侠，谢谢漫威给我们带来的欢笑、泪水、感动以及爱你的3000个日日夜夜。"
深夜的阿斯伯格,看过,推荐,2019-04-24 00:03:30,4025,对某人而言这就叫有始有终吧，这个时代的星战（90后终于有长达十年的情怀和回忆了）
桃桃淘电影,看过,推荐,2019-04-24 03:07:12,3170,用三个小时的时间，与大家告别。是集结，是重聚，是告别，是牺牲。作为系列的最终篇，确实已经努力做到最好了，有笑点、有泪点、也有燃点。这个世代结束了，下个世代再会！
KarSa,看过,力荐,2019-04-24 04:52:12,7245,谁能想到是一只老鼠拯救了地球呢？
雁落孤山,看过,力荐,2019-04-24 02:52:20,7119,I AM IRONMAN.
sunmmr丶sea,看过,推荐,2019-04-24 03:50:19,2879,搞不懂惊队吹这么久是为什么啥……感觉就是打了个酱油🙄🙄🙄
蜉蝣,看过,较差,2019-04-24 02:03:09,1771,一群好几百岁的人叽叽歪歪像一群青春期的小孩，三个小时的时长就靠没完没了的与过去的自己相遇+废话连篇。谁还没有个爱的人咋的！
梅西,看过,力荐,2019-04-24 02:40:40,6703,凡人之躯 比肩神明 最后真的泪目
X教授的傻儿子,看过,力荐,2019-04-24 03:30:39,6286,五星全给黑寡妇，她是最伟大的复仇者！！！
Theo,看过,力荐,2019-04-24 02:50:39,3657,I love you three thousand times.
東林Doning,看过,力荐,2019-04-24 00:00:18,3241,"(不剧透，说一下我看复联4的经历)
为了看复联4的零点场，我平时省吃俭用，终于抢到了几百块钱的“皇帝座”，晚上还要翻墙出学校去电影院，看完了以后，还要早起去上课，为了看复联4，我也是拼了！
此生无悔入漫威！"
Evan☆,看过,力荐,2019-04-24 00:10:08,2259,"看电影时:为了不剧透，为了更好地向奇异博士学习，那就只夸好看吧。
看完电影后:啊啊啊啊啊啊啊啊，我的黑寡妇，我的钢铁侠。
“我们赢了，史塔克先生！”
接受所有的结局，认认真真地说再见！
I love you three thousand times！我爱你三千遍！
I'm Iron Man."
哆啦A梦你在吗,看过,力荐,2019-04-24 02:51:09,1587,我爱 小罗伯特·唐尼 / 克里斯·埃文斯 / 克里斯·海姆斯沃斯 / 杰瑞米·雷纳 / 马克·鲁弗洛 / 斯嘉丽·约翰逊  以及漫威所有的人！十年青春，感谢有你，此生不悔！！！
发条橙,看过,力荐,2019-04-24 02:55:38,1449,午夜场首映观毕，全场掌声雷动，肆意狂欢，私心完美的史诗终结篇，但内心却是七荤八素、五味杂陈。在这一刻情怀可以暂时性的战胜一切，是一次总结，也更像是一次酝酿许久的毕业巡礼。热血、呐喊、震撼、共鸣、感动、不舍与怀念，11年22部电影积累的，所有按耐已久的情绪这在一刻得到彻底的释放与宣泄。多年来一切独属于漫威的记忆犹如昨日重现，历历在目。感谢漫威，给了我们广大超英影迷最美好最弥足珍贵的十年。每段旅程，都有终点，辉煌永存过去，未来来日可期，传奇暂时靠岸停歇，但故事远远没有结束。期待下一个十年，甚至是二十年，来日方长，不说再见～
用户,是否看过,五星评分,评论时间,有用数,评论内容
Kairos,看过,力荐,2019-04-24 02:55:19,1019,我有一个疑问，一切回到五年前，又不改变这五年发生的一切，那么问题来了，那些失去妻子或者丈夫的，又重新与别人相爱了，现在原配回来了，这怎么处理呀？
小轨,看过,还行,2019-04-24 03:05:50,7445,"不打感情分也就合格水准，通篇流水账观感还不如第三部，虽然我一直认为这类片无所谓剧透，不过为了尊重大家不多说了，自己看便是。
最后说一下，钢铁侠作为头号一哥很好地完成了支撑复联的任务，而这个女拳队长无论角色和定位都是彻头彻尾的笑话，新10年靠这种角色基本完蛋。"
乐乎,看过,很差,2019-04-24 00:00:05,1562,将近300元买的杜比首映场，是真的不值。除了花里胡哨的特效外，一无是处，没有插科打诨和反高潮冷笑话，漫威就不会拍电影啦？花了十年塑造的人物形象性格在本作随意全部推翻，每个人所做的决策都不计后果，意气用事，幼稚且儿戏。巨作难逃烂尾，或许真的是个定律。
晚不安,看过,较差,2019-04-24 03:56:56,1554,前20分钟真的以为罗素兄弟要捧出什么好菜，适量精准的文戏和反高潮的设置让我眼前一亮。然后电影就进入了前所未有的格外冗长的英雄重聚段落，紧接着是打着红旗反红旗的罔顾所有悖论的时空旅行。时间线变得空前混乱，拯救世界变得空前儿戏，好莱坞大片标准模式化叙事卷土重来。当生命变成某种可以轻易篡改的东西，它的诞生或者逝去就不会对观众产生丝毫情感冲击。这也就是为什么片末所谓史诗对决还是被世纪初的《指环王》吊打。所以，21部电影的铺垫，媒体的造神运动和公众的趋之若鹜，开启的不过是一场极度粉丝向的闹剧，一次对青春和情怀的过度消费，一次漫威宇宙的自我致敬/重复，一次超级英雄电影彻底暴露其娱乐商品属性的全民跟风运动。在零点场的抽泣、欢呼和掌声里，我感到自己是个彻底的局外人，是时候警惕创作者对荷尔蒙居高临下的操控了。
感谢政府感谢党,看过,还行,2019-04-24 01:46:26,1303,三个小时剧情太拖沓，成了七龙珠寻宝了，堆砌拼凑的剧情，真是不知道浪费睡觉时间来看首映。
宁人干,看过,很差,2019-04-24 03:50:30,1167,不得不承认流量在这个时代主宰世界
宇宙电影患者,看过,还行,2019-04-24 04:24:15,815,复联3是一场寓言故事般的黑色歌剧，惊艳不为过。当所有人都在猜想复联4将用何种巧妙震撼的手法颠覆玩大了的复联3“真结局”，结果你发现他们压根没有准备在这个环节下功夫，只是以普罗大众的态度尽可能回归堆砌更多漫威内容，生拉硬扯直接放弃艺术输出，同时恭喜哲学家灭霸重新喜提服务剧情专用脸谱化廉价反派称号，只能说情怀爆表，电影不及格。
S,看过,力荐,2019-04-24 02:55:39,1006,"始于钢铁侠，终于钢铁侠。
晚安，我爱你三千遍。"
肉まん君,看过,很差,2019-04-24 04:44:35,718,"三小时超长CP混剪，还是水准贼烂的那种，十年你就给我这个丢人的玩意作答卷？
固定镜头吃概念美术，绿幕抠不干净，配乐莫名其妙，打戏除了队长solo部分其余全部不堪入目，剧本毫无逻辑全靠元素堆砌，人物弧光全线崩塌，更有甚者直接倒退回第一阶段。
收官之作竟如此敷衍了事，谁给你们的勇气把这种东西称作电影的？？？"
Leo.Smith,看过,力荐,2019-04-24 01:09:23,953,复仇者联盟4:全员蚁人
笑嘻嘻,看过,很差,2019-04-24 02:18:00,673,无聊，文戏多到过分了吧。
Ada🧣Wang💋,看过,力荐,2019-04-24 03:01:28,961,"其实开头是一起宝石引发的血案，农民灭伯伯正在煮东西吃，被一帮亡命之徒闯入，还没有反应过来被大腹便便男子一斧头砍断手，最后被一群不法分子围殴致死，太惨了！
Great job for Marvel Studios ！如同魔戒一样悲喜交加结局才是最完美的，完结就是要疯狂致敬，某公司给我好好看好好学如何用22部电影铺垫一位史诗角色的陨落，这才叫生的光荣死得其所！而不是直接把王炸甩出去！Avengers4商业成功让所有的漫改电影都黯然失色，MCU成功继承了21世纪初XCU和TDK的衣钵，将美漫文化发扬光大。作为历史最成功的超级反派灭霸，罗素兄弟和凯文费奇居功至伟！MCU发展历程就如同一个屌丝逆袭为高富帅，在好莱坞这片神奇地方英雄不问出处。MCU宇宙毫无疑问称得上其他电影宇宙学习借鉴的一个标杆尺度。"
掉线,看过,力荐,2019-04-24 03:15:03,548,【B+】漫威前所未有的复杂剧本，前所未有的史诗大战，前所未有的英雄悲歌。可以说，直到复联4，漫威才真正发挥出电影宇宙设定的魅力，一种跨越银幕内外的时代沧桑。甚至在其强大的情感力量面前，一切瑕疵和遗憾都可以被原谅了
青泥,看过,很差,2019-04-24 11:22:30,546,如果可以打负分，我可以打个负一亿分。有人牛逼哄哄的说，如果不喜欢这电影，说明你不是漫威粉，没看过全篇的故事。我自问电影看全，票房贡献够，漫画也算看了个几千本，但看来这电影的导演和拥护者觉得雷神粉没有粉格，或者他们概念里不存在雷神粉。那行吧，作为一个不存在的人，祝你们快乐。
来一瓶香槟吧,看过,较差,2019-04-24 01:21:14,658,越来越觉得幼稚的电影，也很讨厌漫威所谓的宣传，相比较《指环王》，这电影简直暴敛天物，占用这么好的演员资源，求求斯嘉丽别再演黑寡妇了，演技都快没了，浪费我的IMAX钱，没看完就离场了，以后绝对不看首映了!
小人物,看过,还行,2019-04-24 07:51:46,683,抱歉，这谢幕我实在吹不出口，剧情逻辑bug我都不care了，人物ooc和潦草处理真的不能接受。
枫,看过,很差,2019-04-24 08:08:36,338,情怀是最没用的东西。
西楼尘,看过,力荐,2019-04-24 23:54:40,565,队长与爱人横亘七十年不能共舞，蚁人与女儿分隔五年未能相见，钢铁侠邂逅父亲期盼新生，雷神遇见母亲不忍分别。时间会给爱情设置衰老的考验，给生命带来变化的乐趣，会让未尽千言凝成一个拥抱，让遗憾万般聚成一场话别。天神拥有肉身，超能沦为凡胎，你是一千四百万分之一的胜利，是三千遍仍未尽的爱。
Hashiku,看过,还行,2019-04-24 05:25:21,429,冷静下来理性分析后，文戏拍的着实糟糕，过于依赖情怀对电影本身来说影响是坏的，同时在逻辑上也可以发现很多很多的问题。最后一场大战好看，但是也趋于一般水平，而引起我情绪跌宕主要是由喜爱人物的生死带来的。
神秘金针菇,看过,较差,2019-04-24 03:05:02,568,I'm not satisfied.史诗级的片长，这么多年的铺垫，漫威本可以靠这部最终篇跳出商业爆米花的标签，谁知最后端出的依旧是段子、爽点的乱炖。一切都那么的刻意和不自然，就像女士们的突然齐步走，就像最后那一个响指，就像明明该是巴基却给了山姆。
用户,是否看过,五星评分,评论时间,有用数,评论内容
法兰西胶片,看过,推荐,2019-04-24 02:59:40,970,漫画里的奇迹一个接一个，电影里的回扣一层接一层，和一切的起点说再见了。这就是，逻辑无能为力，情感浩瀚有理。对于我个人而言，落点给了美队，心满意足了，从小学的FC横版过关，到90年代初傻乎乎的第一款电影版，收官。穿了整整8年的美特斯邦威美队主题T，也可以，脱掉了。
hellodantong,看过,力荐,2019-04-24 00:07:27,445,今年也要毕业了，漫威这代结束了，TBBT也结束了，权游也结束了，终要离别。
影志,看过,力荐,2019-04-24 19:47:37,385,一定要刷IMAX版！在被雷神妈妈“多吃点儿素”和傲娇蚁人“你才在重复说你说过的话，你才…”等段子逗乐之余，《复联4》带我们漂泊于理智与情感的回忆长河，从第一秒就注定感伤。黑寡妇“如果你让我积极的面对生活，我就把三明治砸你脸上”、鹰眼“不要给我希望”、雷神“生命中唯一的永恒就是生命的无常”、钢铁侠“你玩弄时间，时间就会玩弄你”、队长“- ta有家人吗？- 有吧，就是我们了”…止不住的热泪盈眶。“只要有人牵挂过去，就不会接受未来” 十年前《钢铁侠》出来时的惊艳，远远没想到它只是一个小开始。漫威宇宙大到让人猝不及防，看这部的时候在想，再过10年30年，这里面的英雄成为过去和经典，再回忆会是怎样的感慨万千。再见了，超级英雄~
火火火,看过,力荐,2019-04-24 04:13:16,465,"我永远地失去了我的英雄
但他直到死的那一刻也是让所有人敬仰的英雄
谢谢让托尼遇到了霍华德
谢谢让史蒂夫赶上了他的约会
谢谢让索尔见到了弗瑞嘉
谢谢队长的avengers assemble
感谢圆了他们的梦，也感谢圆了我的梦
感谢有你们的这些年
但是我真的太意难平了啊，我的初代啊"
柯里昂,看过,推荐,2019-04-24 03:13:18,721,用多线剧情给自己过去的十年做总结，漫威这波操作很官方了，虽然有几处戳泪的剧情节点，也算不破不立吧…看看后半段大战里那些眼花缭乱的角色，感觉轻轻松松再拍个十年也没啥大问题，处处透露着一边给你递纸巾一边给你展望未来蓝图的野心…不过上一部仓促登场的惊奇队长有点保存实力的意思，大部分高光时刻都给了初代六位，角色与过去告别，观众与角色告别，也算是非常好的谢幕了。不少段落的怀旧范儿也很深得我心，包括对之前十年剧情的回溯，另外结合《复联3》来看灭霸也算是超英电影里诞生的又一个非典型反派，动机太哲学了，这魅力都快赶上隔壁小丑（就是造型输点儿），明显比以往大奸大恶的单细胞反派高出几个等级…给特写的时候差点给人看哭了，有点「壮志未酬」的悲情，总之站在他角度看完全又是另一番滋味，漫威不拍一部《灭霸传》着实可惜了。
kakakarl,看过,推荐,2019-04-24 03:04:12,540,“漫威宇宙”电影院播放的电视剧的阶段性大结局。除了片尾回顾角色以外，在“逆转未来”时空穿越的过程中，就完成了一次过往演员的大集结，甚至包括娜塔莉波特曼等本不会再出现的人物。解释了上一集留下的大bug，在大家想象到的结局内有不断的惊喜，在从第15分钟出片名开始，就有卧槽，到后面卧槽不断。没有彩蛋看完了片尾字幕，最后，我爱你3000次。
女神的秋裤,看过,力荐,2019-04-24 05:18:48,382,最后还是有彩蛋的，最后logo出现时，有敲打铁器的声音，在我的记忆里，那个声音来自《钢铁侠1》中的那个山洞…最后绯红女巫身后的男孩应该来自《钢铁侠3》…不知道说什么好，过去的11年突然有了更深更复杂的意义，一生能够看到一部这样的电影，很值了。
飞侠式拼搏,看过,力荐,2019-04-24 00:06:23,374,"11年，历经21部电影的铺垫，终于迎来最后的高潮。并且将它们全部串联在一起，这是史无前例的壮举，令人难以置信。
笑着笑着就哭了，哭着哭着又笑了……
以“I am Iron Man”开始，又以“I am Iron Man”结束。史蒂夫也赶上了约会圆了人生最大的遗憾。这是最好的漫威，最好的复联。此生不悔入漫威！！！
“Avengers，Assemble”，原以为复联3中瓦坎达大战就足够令人震撼，但这里还比瓦坎达大战强十倍。史诗般的大决战场面，MCU中的巅峰之战，超级无敌燃！！！
永远的A 6！感谢你们给我们带来的力量和信仰，欢乐和悲伤，惊喜和感动。我爱每一位超级英雄，我爱你们三千遍！！！
唯一不满的一点，辣鸡罗素，还我托尼·斯塔克！！！"
质异如星,看过,很差,2019-04-24 02:55:45,223,这个剧情真是生拉硬凑强行煽情。果然是第三部玩大了，这次圆不动了。还好意思吐槽《回到未来》，勇气可嘉。
尘与尘,看过,力荐,2019-04-24 03:50:36,364,"1我觉得就我个人而言，应该是漫威最好的一部，因为完成了十年的收官，做到了为所有人补全属于自己的那一面，不留遗憾。
2这电影不太符合豆瓣电影欣赏水平吧，但是在我们这个年代这样现象级的电影，是很完美的。算是青春吧。
3如果你觉得不好看，那说明确实不是拍给你看的。
4CP女孩哭泣之夜。
5爱你三千遍。"
大奇特(Grinch),看过,推荐,2019-04-24 03:31:45,382,其实我一直不喜欢《复联1-3》，尤其对过度拥挤的战斗场面审美疲劳。《复联4》于我来说是一种巨大的解脱，它不再仰仗战斗场面，而是有足够的时间来处理上一集所带来的影响。你在凝视着时间，时间也在凝视着你。这一集是整个漫威宇宙的顶点，也是漫威十一年旅程的暂告一段落，像一场告别，牵动着观众对他们喜欢的角色和故事的记忆跟情感经历。
人间过客,看过,推荐,2019-04-24 21:10:53,352,一个女人，一直以凡人的血肉之躯出生入死，她从未有过真正意义上的家人，从未和哪个喜欢过的人真正在一起过，最后还为了世界献出生命，死在了那么遥远的地方，死后甚至没有一场体面的葬礼，她的朋友们经过短暂的悲伤之后都像没事人一样几乎不提及她了，最后某人被全世界缅怀铭记的时候她几乎就像不存在过一般，还能再惨点吗？
趴,看过,较差,2019-04-24 06:13:50,330,铺垫又臭又长，核心人物逻辑崩坏，并且永远在该认真的地方搞笑，你看我笑了吗？🙄️
王大根,看过,力荐,2019-04-24 15:20:15,241,星际大联欢，节奏把控得真好，武戏利落，文戏精练，笑点插得自然又精准，三个小时完全不显冗长。最喜欢的是这回整个故事的落脚点：再没有英雄、责任之类的长篇说教，有的只是想在时间长河中追回失物、追回所爱的炽热心情，毕竟最动人的故事不是拯救世界，永远是人与人之间的相遇和离别啊😭
wuwu-qq,看过,很差,2019-04-24 07:14:10,212,剧情太容易被猜想到了，有点假，虽然是系列终结篇，但真的觉得没意思
罗严塔尔,看过,力荐,2019-04-24 03:50:23,244,老三巨头谢幕；为什么铁人要拿最高片酬；美队最强地球人“实锤”、70年前那支舞终究兑现了；论中年大叔的垮掉从有啤酒肚开始；反派终于面目可憎了；女权主义者的盛宴；女巫最赞不接受反驳；对漫画有呼应和斯坦李最后一次出境了；前作里的伏笔也基本上都接上了。作为21部一路看过来的人，表示挺圆满的了。
平成御宅,看过,还行,2019-04-24 00:27:29,276,对漫威宇宙无感、对超级英雄无感、对好莱坞爆米花无感、对超级动作大片无感的我，还是乖乖滴跟风刷了，原因只有一个：这百年一遇的卡司阵容实在是找不到拒绝的理由。
心生,看过,推荐,2019-04-24 03:17:33,292,最终能做到这样，已经是很棒的一部阶段尾声作品了，感觉信息量都要爆掉。有燃到炸裂的爽翻天，也有难以阻挡的告别。再见，未来还要再见！I love you three thousand times!
桑下,看过,力荐,2019-04-24 01:05:55,223,一个带有缺憾的句号。
同志亦凡人中文站,看过,推荐,2019-04-24 17:44:47,224,一桶爆米花吃了11年，突然没彩蛋的漫威还真不习惯。再见，英雄们~（罗素兄弟可以试试拍文艺片！）
用户,是否看过,五星评分,评论时间,有用数,评论内容
二十二岛主,看过,推荐,2019-04-24 02:51:09,204,一场盛大的终结，即使之前不是漫威粉丝，此刻也不得不惊叹于这场十年布局的精妙和野心。本质上是升级综合版的《逆转未来》，但是看到一幕幕曾经惊艳到我们的场景出现，不由得心生感慨，也不禁会思考，如果我们拥有回到过去的能力，会对过去的自己和想见的人说些什么？又是否能改变什么？从这个角度来说，这部终局之战更像是一部人性之作，它在探寻人在面临失去后的选择与处境，责任的担当与传承，当然还有必不可少的牺牲精神，随着惊奇队长的加盟，女权精神也得到了更为明显的展现。到最后还是落得白茫茫大地真干净，从谁身上引出的传奇自然由谁结束，娜塔莎在提到因为超级英雄这份工作变得更好的真情流露，可能也是所有演员们的心声。毕竟这22部作品确实承载了太多意义。
张咏轩Wayne®,看过,还行,2019-04-24 10:36:15,192,文戏拍的确实糟糕，粉丝向的处理和运用，对路人真是不友好，过于依赖情怀对电影本身来说是坏的，同时在逻辑上也有很多问题和误区，罔顾时间悖论的时空旅行，让时间线变得空前混乱，大篇幅的漫威10年重要角色重聚，拯救世界变得空前儿戏，用最笨拙的方式自我致敬，却是最被粉丝买账的行径。摘除粉丝滤镜，全程流水账记事，角色牺牲在意料之中，但这样对角色生死大权的操控，还是不能附带所有的情感感同，当生命变成某种可以随意篡改的东西，它的诞生或者消逝就不会对观众产生太大的情感冲击。对于同样翘首企盼这部电影的我，这回面对所有电影院里的抽泣和痛哭，有种彻头彻尾局外人的感觉，这场悲剧，是对青春和情怀的一次过度消费，是漫威宇宙一次自我的重复致敬，它精明的调动了大众现下可拨弄到的情绪， 但我们是该警惕创作者再这样居高临下的操控了
雨小农和獭祭鱼,看过,力荐,2019-04-24 02:55:47,238,买到了《复联4》预售票，一个人去电影院凌晨三点多看完电影一个人回去，很酷吧。所有你看过的剧情猜测都是错的，所有的伏笔和细节都圆满了。我的初心六人组，最后都获得了完美的归宿。不剧透什么，祝每一个在生活中一腔孤勇的我们，观影愉快。
国王KING,看过,力荐,2019-04-24 02:55:49,187,“You can rest now.” 太过沉重的结局。各种意义上的，见证了一个时代的结束。
Feixiang,看过,力荐,2019-04-24 03:05:28,175,很难承认，2019年度十佳将出现一部超级英雄电影。悲壮、史诗、深情，这些不曾存在于漫威字典里的词，在这终章中得以展现。对路人来说，这是一部逻辑自洽、节奏有序、编排得当的商业大作，对粉丝来说这是一场情怀至上的青春告别仪式。无疑，这是漫威11年最好的结局。另片尾其实是有彩蛋的（仔细听）。
D.A.V.Delta,看过,很差,2019-04-24 07:10:52,153,盾冬玩家彻底被割韭菜，不打一分对不起自己良心！！！
白死,看过,很差,2019-04-24 04:22:24,167,BUG太多，穿越设定太落下风，打斗还不如上一部，一个有印象的打斗镜头都没有。美队结局大BUG，地球科技太无敌，只要你想，无限宝石可以批发了。作为系列终章，太失望了
陆支羽,看过,还行,2019-04-24 03:58:43,155,3.5。1.我们早已习惯了等彩蛋，这次却偏偏没有彩蛋。2.比初代超级英雄纷纷离场更让人难过的是，……涉剧透！3.对漫威迷而言，真的是十年一梦，美队雷神浩克寡姐鹰眼各有各的泪点，甚至独守花园的灭霸。4.试想，倘若惊奇队长始终在场，又会是怎样一番局面呢？
xiaoxixi,看过,力荐,2019-04-24 03:50:28,196,粉丝看了落泪，路人看了爆笑。腐女看了高潮，直男看了热血。漫威粉看了鼓掌，DC粉看了抱拳。
